iter	Passed	Remaining
1016	207987	573040
1017	208200	572858
1018	208409	572664
1019	208614	572462
1020	208823	572269
1021	209031	572075
1022	209233	571863
1023	209443	571675
1024	209660	571504
1025	209869	571310
1026	210084	571134
1027	210294	570944
1028	210516	570788
1029	210733	570617
1030	210945	570431
1031	211156	570244
1032	211366	570053
1033	211573	569857
1034	211780	569658
1035	211988	569463
1036	212194	569263
1037	212401	569064
1038	212608	568864
1039	212814	568664
1040	213021	568466
1041	213238	568295
1042	213447	568100
1043	213652	567897
1044	213862	567708
1045	214078	567533
1046	214286	567336
1047	214494	567142
1048	214709	566964
1049	214921	566777
1050	215127	566577
1051	215334	566379
1052	215547	566196
1053	215758	566007
1054	215968	565816
1055	216177	565624
1056	216380	565414
1057	216581	565200
1058	216783	564988
1059	216985	564775
1060	217185	564558
1061	217385	564343
1062	217585	564126
1063	217788	563915
1064	217989	563701
1065	218189	563486
1066	218390	563271
1067	218592	563058
1068	218792	562843
1069	218995	562635
1070	219195	562418
1071	219403	562221
1072	219614	562033
1073	219828	561852
1074	220040	561666
1075	220244	561460
1076	220453	561264
1077	220661	561068
1078	220862	560856
1079	221067	560650
1080	221269	560440
1081	221475	560239
1082	221677	560026
1083	221882	559822
1084	222086	559617
1085	222287	559403
1086	222493	559201
1087	222697	558994
1088	222908	558807
1089	223116	558609
1090	223323	558411
1091	223531	558214
1092	223739	558019
1093	223949	557825
1094	224158	557632
1095	224367	557438
1096	224582	557258
1097	224793	557070
1098	224998	556865
1099	225202	556658
1100	225411	556464
1101	225617	556264
1102	225835	556091
1103	226045	555899
1104	226257	555712
1105	226470	555528
1106	226681	555338
1107	226888	555139
1108	227092	554933
1109	227297	554729
1110	227499	554517
1111	227704	554312
1112	227914	554120
1113	228125	553930
1114	228330	553726
1115	228542	553540
1116	228755	553354
1117	228961	553151
1118	229166	552948
1119	229371	552744
1120	229577	552542
1121	229790	552357
1122	229991	552143
1123	230195	551937
1124	230401	551733
1125	230613	551547
1126	230820	551348
1127	231030	551154
1128	231239	550960
1129	231445	550759
1130	231658	550572
1131	231868	550380
1132	232075	550180
1133	232281	549977
1134	232488	549778
1135	232697	549584
1136	232909	549395
1137	233124	549213
1138	233333	549020
1139	233540	548820
1140	233753	548635
1141	233969	548456
1142	234180	548265
1143	234394	548081
1144	234602	547884
1145	234810	547687
1146	235018	547488
1147	235229	547298
1148	235436	547097
1149	235644	546899
1150	235851	546701
1151	236060	546504
1152	236272	546315
1153	236478	546113
1154	236688	545920
1155	236896	545721
1156	237101	545518
1157	237305	545309
1158	237506	545096
1159	237708	544885
1160	237910	544674
1161	238113	544465
1162	238319	544261
1163	238524	544057
1164	238728	543850
1165	238930	543637
1166	239131	543425
1167	239334	543214
1168	239537	543005
1169	239738	542793
1170	239943	542587
1171	240146	542377
1172	240350	542171
1173	240551	541958
1174	240754	541748
1175	240958	541542
1176	241161	541332
1177	241362	541119
1178	241565	540909
1179	241767	540698
1180	241971	540491
1181	242173	540280
1182	242380	540080
1183	242582	539869
1184	242786	539663
1185	242993	539462
1186	243195	539249
1187	243401	539048
1188	243608	538847
1189	243810	538636
1190	244015	538431
1191	244221	538229
1192	244422	538017
1193	244624	537804
1194	244826	537594
1195	245032	537392
1196	245233	537177
1197	245438	536972
1198	245641	536763
1199	245843	536553
1200	246049	536350
1201	246253	536143
1202	246458	535939
1203	246664	535738
1204	246867	535528
1205	247077	535335
1206	247287	535140
1207	247489	534929
1208	247689	534714
1209	247892	534504
1210	248097	534300
1211	248297	534086
1212	248502	533881
1213	248713	533689
1214	248919	533486
1215	249123	533279
1216	249327	533073
1217	249530	532865
1218	249733	532655
1219	249935	532444
1220	250142	532244
1221	250346	532036
1222	250550	531831
1223	250752	531619
1224	250954	531409
1225	251157	531199
1226	251357	530985
1227	251562	530780
1228	251765	530570
1229	251968	530362
1230	252172	530157
1231	252373	529943
1232	252575	529731
1233	252778	529523
1234	252981	529315
1235	253187	529112
1236	253389	528901
1237	253591	528690
1238	253794	528482
1239	253996	528271
1240	254203	528071
1241	254415	527882
1242	254623	527683
1243	254823	527468
1244	255028	527264
1245	255237	527066
1246	255438	526855
1247	255639	526642
1248	255845	526438
1249	256053	526240
1250	256261	526041
1251	256464	525834
1252	256669	525630
1253	256874	525425
1254	257078	525218
1255	257282	525011
1256	257484	524800
1257	257686	524591
1258	257890	524383
1259	258095	524180
1260	258298	523971
1261	258501	523762
1262	258706	523557
1263	258905	523341
1264	259108	523131
1265	259312	522925
1266	259515	522718
1267	259720	522513
1268	259922	522302
1269	260126	522097
1270	260327	521883
1271	260531	521676
1272	260733	521466
1273	260934	521254
1274	261136	521043
1275	261335	520828
1276	261537	520618
1277	261738	520405
1278	261939	520191
1279	262140	519979
1280	262341	519767
1281	262542	519556
1282	262745	519346
1283	262946	519134
1284	263147	518923
1285	263348	518711
1286	263551	518501
1287	263751	518288
1288	263952	518075
1289	264153	517864
1290	264358	517658
1291	264567	517462
1292	264770	517254
1293	264972	517043
1294	265176	516838
1295	265380	516632
1296	265584	516425
1297	265788	516219
1298	265989	516008
1299	266191	515797
1300	266397	515595
1301	266602	515391
1302	266810	515191
1303	267011	514980
1304	267216	514774
1305	267423	514575
1306	267626	514366
1307	267832	514163
1308	268037	513961
1309	268247	513765
1310	268457	513571
1311	268671	513383
1312	268892	513209
1313	269106	513022
1314	269318	512830
1315	269529	512637
1316	269739	512443
1317	269949	512249
1318	270166	512066
1319	270383	511884
1320	270598	511698
1321	270815	511516
1322	271029	511329
1323	271244	511145
1324	271460	510960
1325	271677	510777
1326	271890	510589
1327	272106	510405
1328	272323	510221
1329	272532	510024
1330	272742	509829
1331	272954	509637
1332	273161	509437
1333	273369	509237
1334	273576	509035
1335	273783	508834
1336	273994	508641
1337	274195	508430
1338	274397	508219
1339	274598	508007
1340	274802	507801
1341	275003	507588
1342	275205	507377
1343	275406	507166
1344	275608	506955
1345	275811	506746
1346	276016	506542
1347	276219	506333
1348	276424	506129
1349	276627	505921
1350	276828	505708
1351	277032	505501
1352	277237	505297
1353	277439	505088
1354	277642	504879
1355	277843	504666
1356	278045	504456
1357	278250	504251
1358	278453	504043
1359	278654	503832
1360	278855	503620
1361	279057	503410
1362	279258	503197
1363	279459	502985
1364	279660	502774
1365	279860	502561
1366	280062	502349
1367	280266	502144
1368	280468	501933
1369	280670	501724
1370	280870	501511
1371	281071	501299
1372	281272	501087
1373	281479	500885
1374	281685	500684
1375	281887	500473
1376	282100	500282
1377	282314	500093
1378	282524	499898
1379	282731	499696
1380	282937	499493
1381	283144	499293
1382	283357	499103
1383	283565	498902
1384	283769	498697
1385	283975	498493
1386	284189	498305
1387	284391	498094
1388	284598	497894
1389	284801	497685
1390	285005	497478
1391	285215	497283
1392	285421	497080
1393	285634	496890
1394	285840	496686
1395	286044	496480
1396	286251	496277
1397	286465	496088
1398	286674	495891
1399	286879	495685
1400	287088	495488
1401	287294	495285
1402	287505	495090
1403	287713	494891
1404	287919	494687
1405	288139	494510
1406	288347	494310
1407	288555	494111
1408	288758	493901
1409	288961	493694
1410	289168	493491
1411	289376	493292
1412	289585	493094
1413	289793	492894
1414	289998	492690
1415	290211	492499
1416	290431	492318
1417	290642	492124
1418	290859	491939
1419	291076	491755
1420	291291	491566
1421	291507	491381
1422	291716	491181
1423	291923	490980
1424	292136	490790
1425	292350	490600
1426	292567	490414
1427	292783	490228
1428	292999	490041
1429	293210	489845
1430	293424	489655
1431	293636	489462
1432	293846	489266
1433	294049	489056
1434	294252	488847
1435	294451	488633
1436	294653	488422
1437	294854	488211
1438	295056	488001
1439	295257	487790
1440	295458	487578
1441	295669	487382
1442	295871	487173
1443	296074	486963
1444	296284	486768
1445	296486	486556
1446	296688	486348
1447	296890	486137
1448	297090	485924
1449	297291	485713
1450	297493	485503
1451	297694	485291
1452	297899	485085
1453	298109	484889
1454	298313	484682
1455	298513	484469
1456	298716	484261
1457	298920	484053
1458	299121	483842
1459	299330	483644
1460	299540	483446
1461	299744	483241
1462	299945	483028
1463	300155	482832
1464	300356	482620
1465	300558	482409
1466	300760	482200
1467	300964	481993
1468	301165	481783
1469	301370	481578
1470	301573	481369
1471	301778	481164
1472	301982	480957
1473	302184	480748
1474	302392	480547
1475	302606	480357
1476	302814	480157
1477	303020	479952
1478	303224	479746
1479	303432	479546
1480	303634	479337
1481	303839	479131
1482	304044	478927
1483	304249	478720
1484	304453	478514
1485	304654	478303
1486	304854	478090
1487	305057	477881
1488	305256	477668
1489	305457	477457
1490	305659	477247
1491	305863	477040
1492	306064	476829
1493	306266	476620
1494	306469	476412
1495	306673	476204
1496	306878	476000
1497	307095	475813
1498	307302	475611
1499	307514	475417
1500	307718	475211
1501	307925	475008
1502	308135	474811
1503	308340	474606
1504	308551	474411
1505	308760	474212
1506	308972	474017
1507	309180	473816
1508	309392	473622
1509	309599	473421
1510	309807	473220
1511	310013	473016
1512	310220	472814
1513	310427	472612
1514	310633	472409
1515	310840	472206
1516	311047	472004
1517	311253	471801
1518	311461	471600
1519	311666	471396
1520	311874	471195
1521	312081	470992
1522	312288	470790
1523	312494	470586
1524	312702	470385
1525	312908	470183
1526	313115	469981
1527	313321	469777
1528	313528	469574
1529	313730	469365
1530	313932	469155
1531	314136	468948
1532	314340	468742
1533	314541	468531
1534	314742	468320
1535	314944	468110
1536	315144	467898
1537	315348	467692
1538	315550	467482
1539	315754	467275
1540	315958	467068
1541	316158	466856
1542	316359	466646
1543	316561	466436
1544	316765	466229
1545	316966	466018
1546	317167	465807
1547	317370	465599
1548	317577	465398
1549	317778	465186
1550	317986	464986
1551	318199	464792
1552	318401	464582
1553	318603	464373
1554	318815	464178
1555	319015	463966
1556	319214	463752
1557	319416	463543
1558	319617	463332
1559	319818	463121
1560	320019	462910
1561	320220	462699
1562	320422	462490
1563	320635	462297
1564	320839	462090
1565	321045	461887
1566	321249	461680
1567	321459	461482
1568	321667	461281
1569	321877	461084
1570	322082	460879
1571	322291	460680
1572	322494	460472
1573	322695	460261
1574	322899	460054
1575	323100	459843
1576	323301	459632
1577	323501	459421
1578	323702	459210
1579	323913	459013
1580	324115	458804
1581	324317	458595
1582	324520	458387
1583	324722	458177
1584	324922	457966
1585	325123	457755
1586	325324	457545
1587	325526	457336
1588	325729	457127
1589	325930	456916
1590	326130	456705
1591	326331	456495
1592	326538	456293
1593	326743	456087
1594	326946	455879
1595	327154	455679
1596	327360	455475
1597	327575	455284
1598	327792	455096
1599	327999	454894
1600	328203	454687
1601	328414	454490
1602	328626	454295
1603	328834	454095
1604	329041	453892
1605	329254	453698
1606	329463	453498
1607	329669	453295
1608	329882	453101
1609	330091	452902
1610	330297	452697
1611	330507	452500
1612	330710	452291
1613	330913	452084
1614	331114	451873
1615	331320	451670
1616	331521	451459
1617	331720	451246
1618	331922	451037
1619	332124	450828
1620	332325	450617
1621	332526	450407
1622	332727	450196
1623	332927	449985
1624	333131	449779
1625	333332	449568
1626	333535	449360
1627	333735	449149
1628	333937	448939
1629	334140	448732
1630	334345	448526
1631	334551	448323
1632	334759	448122
1633	334964	447917
1634	335169	447712
1635	335375	447508
1636	335577	447299
1637	335779	447091
1638	335984	446885
1639	336187	446677
1640	336389	446469
1641	336591	446260
1642	336795	446054
1643	336999	445848
1644	337202	445639
1645	337404	445430
1646	337607	445223
1647	337810	445016
1648	338012	444806
1649	338215	444599
1650	338415	444388
1651	338618	444180
1652	338820	443971
1653	339023	443763
1654	339229	443560
1655	339442	443366
1656	339655	443171
1657	339858	442963
1658	340061	442756
1659	340263	442547
1660	340469	442343
1661	340676	442141
1662	340888	441945
